Day,Month,Hour,Temperature_mean,Temperature_min,Temperature_max,Temperature_std,Pressure_mean,Pressure_min,Pressure_max,Pressure_std,Humidity_mean,Humidity_min,Humidity_max,Humidity_std,WindDirection_mean,WindDirection_min,WindDirection_max,WindDirection_std,Speed_mean,Speed_min,Speed_max,Speed_std,Radiation_mean,SunDurationMinutes_mean,TimeSunRise_first,TimeSunSet_first
3,11,14,62.583333333333336,62,63,0.5149286505444376,30.405833333333334,30.4,30.41,0.005149286505445105,42.25,39,47,2.137330535547046,114.39583333333333,0.11,359.93,147.5207747747805,6.841666666666666,1.12,12.37,3.2695727642317522,736.2491666666666,682.0,6.416666666666667,17.783333333333335
28,10,16,48.333333333333336,47,49,0.7784989441615228,30.381666666666664,30.38,30.39,0.0038924947208068047,100.41666666666667,100,101,0.5149286505444335,97.61500000000001,26.06,359.92,87.07434738616921,4.4025,1.12,9.0,2.169793140538349,207.0091666666667,689.0,6.366666666666666,17.85
21,9,17,52.833333333333336,52,54,0.5773502691896262,30.389166666666668,30.38,30.39,0.0028867513459487197,92.41666666666667,91,94,0.792961461098761,47.04416666666666,0.82,77.5,25.59430563739923,5.3425,2.25,10.12,2.7180043648369527,87.72166666666668,729.0,6.183333333333334,18.333333333333332
1,12,11,45.583333333333336,44,47,0.9962049198956223,30.416666666666668,30.41,30.42,0.0049236596391745505,94.33333333333333,93,96,1.1547005383792532,161.4775,114.71,199.91,21.88259712232947,12.654166666666667,6.75,19.12,4.100989810307072,20.436666666666667,661.0,6.683333333333334,17.7
9,9,18,49.0,49,49,0.0,30.356666666666666,30.35,30.36,0.005773502691894596,99.33333333333333,99,100,0.5773502691896247,148.82,131.42,160.5,15.360677068410757,3.3733333333333335,2.25,4.5,1.125003703697607,1.6333333333333335,742.0,6.15,18.516666666666666
15,9,13,53.25,53,54,0.5,30.442500000000003,30.44,30.45,0.004999999999998413,89.75,86,92,2.6299556396765835,148.135,116.49,165.93,21.714205028045583,5.0600000000000005,3.37,6.75,1.4536620423376725,85.3825,736.0,6.166666666666667,18.433333333333334
26,11,16,54.333333333333336,52,56,1.3026778945578585,30.4225,30.42,30.43,0.004522670168666437,56.5,28,79,19.639940751623275,80.05833333333334,16.9,155.82,41.037734261693025,8.81,2.25,15.75,4.863343406640033,257.1816666666667,664.0,6.633333333333333,17.7
7,11,11,64.08333333333333,64,65,0.2886751345948129,30.461666666666662,30.45,30.47,0.00937436866561031,20.083333333333332,14,33,7.254570137422884,342.59083333333336,313.15,359.93,15.251893747295394,6.185,2.25,12.37,3.0136914844815093,914.4858333333333,679.0,6.45,17.766666666666666
25,10,8,57.833333333333336,53,61,2.8230651727682403,30.478333333333335,30.47,30.49,0.005773502691898971,43.0,38,53,5.00908265962033,177.70416666666665,29.69,349.52,92.80979233781248,1.1225,0.0,3.37,1.071694707206556,484.4775,691.0,6.35,17.866666666666667
17,9,13,59.75,59,60,0.4522670168666455,30.46666666666667,30.46,30.47,0.004923659639173741,90.5,88,93,1.7837651700316894,57.73333333333333,13.71,105.26,27.648298429751623,7.028333333333333,3.37,13.5,3.5631468046538797,677.1741666666667,734.0,6.166666666666667,18.4
